 TIME, Mass Concentration PM1.0, Mass Concentration PM2.5, Mass Concentration PM4.0 , Mass Concentration PM10, Number Concentration PM0.5, Number Concentration PM1.0, Number Concentration PM2.5, Number Concentration PM4.0, Number Concentration PM10, Particle Size
 Wed Mar 18 19:06:03 2020,0.8374126,1.73900974,1.7390089,1.73901069,13.66479778,18.13180923,18.24920654,15.62767315,15.62926388,0.14770132
 Wed Mar 18 19:06:18 2020,0.89951962,1.7488656,1.74886477,1.74886632,3.27555704,15.690341,15.744977,15.74783421,15.74931431,0.23943269
 Wed Mar 18 19:06:33 2020,0.77830994,1.98452294,1.98452222,1.98452365,4.81499577,13.63322067,13.68272114,13.68531036,13.68665123,0.16276711
 Wed Mar 18 19:06:48 2020,1.54076898,1.3961879,1.39618731,1.39618862,3.52405429,3.98716903,2.69728971,2.69847274,2.69908571,0.16216505
 Wed Mar 18 19:07:03 2020,0.62536925,0.55480051,0.55479991,0.55480111,6.34270334,2.53496027,6.29861307,6.30076742,6.3018837,0.19149375
 Wed Mar 18 19:07:18 2020,0.93482107,1.40973091,1.40973008,1.40973186,7.65673399,7.37061119,6.84037685,6.84206438,6.8429389,0.19228387
 Wed Mar 18 19:07:33 2020,1.58667815,1.58481896,1.58481789,1.58482015,3.69450378,3.76972628,3.00879788,3.00986075,3.0104115,0.14818281
 Wed Mar 18 19:07:48 2020,1.83629429,1.02460504,1.02460432,1.02460563,2.19115543,3.99998808,2.46018434,2.46137142,2.4619863,0.14812946
 Wed Mar 18 19:08:03 2020,0.74984753,0.6201157,0.62011504,0.62011635,6.23271418,4.18691397,7.23082685,7.2331233,7.23431349,0.16238242
 Wed Mar 18 19:08:18 2020,0.88599163,1.79047382,1.79047287,1.79047489,3.2822566,4.34943295,5.82313299,5.82502651,5.82600737,0.18149781
 Wed Mar 18 19:08:33 2020,1.91022837,1.39325845,1.39325786,1.39325917,3.26475191,3.22617936,3.99873519,3.99991488,2.68802595,0.16273713
 Wed Mar 18 19:08:48 2020,0.84087259,1.86549151,1.86549067,1.86549222,2.81146502,29.50502205,29.61355209,29.61922836,29.62216949,0.1332292
 Wed Mar 18 19:09:03 2020,0.66469127,0.83947051,0.83947009,0.83947092,5.1399312,9.61910057,10.54979134,10.55270481,10.55421352,0.14750206
 Wed Mar 18 19:09:18 2020,0.78463995,0.5225268,0.52252638,0.52252722,19.75141335,11.47438335,14.28106499,14.28402996,14.28556633,0.1914503
 Wed Mar 18 19:09:33 2020,0.57946891,0.73026878,0.73026842,0.73026913,2.30008173,21.90652084,11.50169849,11.50423241,11.50554466,0.13304949
 Wed Mar 18 19:09:48 2020,0.914051,1.15522802,1.1552273,1.15522873,3.73465037,14.74167538,12.35431576,12.35693836,12.35829735,0.13335001
 Wed Mar 18 19:10:03 2020,1.44137251,0.58192801,0.58192772,0.58192837,3.4864099,2.03782487,3.27958679,3.28079033,3.50016403,0.14784223
 Wed Mar 18 19:10:18 2020,1.91091096,1.39361942,1.3936187,1.39362001,3.51589799,3.22753334,2.68759704,2.68877721,2.68938851,0.16238499
 Wed Mar 18 19:10:33 2020,0.9617303,1.22589481,1.22589409,1.22589552,7.76019812,8.56848431,8.61760235,8.62017155,8.62150288,0.19182986
 Wed Mar 18 19:10:48 2020,0.77970642,1.98747635,1.98747563,1.98747706,4.83375311,13.6553793,14.70501041,14.70760632,14.70895195,0.16269207
 Wed Mar 18 19:11:03 2020,1.62518322,0.77882791,0.77882761,0.77882826,5.34221792,6.21670246,5.13855886,5.14100981,5.14227962,0.14839375
 Wed Mar 18 19:11:18 2020,0.62286371,0.62901956,0.62901902,0.62902009,3.93936825,6.77472115,7.71783686,6.21976519,6.22076416,0.41270792
 Wed Mar 18 19:11:33 2020,1.18597734,0.99173462,0.99173415,0.99173516,6.18311167,4.78795052,3.2397418,3.24066448,3.24114275,0.41322851
 Wed Mar 18 19:11:48 2020,1.69463015,0.69647306,0.6964727,0.69647348,2.82792044,2.77670097,2.00880194,2.00950027,2.00986195,0.44175696
 Wed Mar 18 19:12:03 2020,1.93808413,1.30152047,1.30151951,1.30152142,5.80284309,3.04006815,2.27556968,2.27644563,2.27689958,0.19209319
 Wed Mar 18 19:12:18 2020,1.41223943,0.88476032,0.88475984,0.88476086,3.19984865,2.98790288,3.69249201,3.69338584,3.69384909,0.19230622
 Wed Mar 18 19:12:33 2020,0.55228758,0.57279694,0.57279646,0.57279742,6.14857626,5.74730921,4.21745396,6.65666151,6.65754604,0.23973715
 Wed Mar 18 19:12:48 2020,1.06724834,0.56046838,0.56046778,0.56046891,5.76396608,2.79536295,3.25176764,3.25275636,3.25326872,0.14828229
 Wed Mar 18 19:13:03 2020,1.93244207,1.33704209,1.33704126,1.33704305,3.43766761,3.21792412,3.95226121,3.9530766,2.73474908,0.14779508
 Wed Mar 18 19:13:18 2020,1.20733237,0.75769573,0.75769526,0.75769627,4.26254129,3.79751253,3.03287339,3.03374219,3.03419232,0.14820403
 Wed Mar 18 19:13:33 2020,0.64021373,0.68283772,0.68283725,0.68283826,2.49088001,6.32275152,7.85750246,7.85931969,7.86026144,0.14788789
 Wed Mar 18 19:13:48 2020,0.55423391,0.63735515,0.63735467,0.63735563,4.7241478,4.20025158,6.6704874,6.67219925,6.67308664,0.19191945
 Wed Mar 18 19:14:03 2020,1.67255235,1.9192555,1.91925454,1.91925645,7.32939053,2.27449918,2.51009321,2.51097417,2.51143074,0.44162393
 Wed Mar 18 19:14:18 2020,1.04107821,0.69147754,0.691477,0.69147801,3.95629382,2.99551702,3.70015121,3.70104742,3.70151162,0.44197404
 Wed Mar 18 19:14:33 2020,1.91032434,1.39330924,1.39330852,1.39330983,3.26491284,3.22636986,3.9989264,2.68760633,2.68821764,0.19215232
 Wed Mar 18 19:14:48 2020,1.53708053,1.07026792,1.07026696,1.07026899,2.75513625,2.70517755,2.4418385,2.44277525,2.44326067,0.19233006
 Wed Mar 18 19:15:03 2020,1.4598577,1.15904868,1.15904784,1.15904939,3.14467907,3.30690455,3.53918386,3.53989148,3.54025817,0.19212633
 Wed Mar 18 19:15:18 2020,0.61268544,1.92545331,1.92545247,1.92545402,2.41552258,7.67535019,6.14027214,6.14170647,6.14244938,0.19215477
 Wed Mar 18 19:15:33 2020,1.79101944,1.18964422,1.18964303,1.18964529,6.83329535,3.52381444,2.19921088,2.20021248,2.20073128,0.1917668
 Wed Mar 18 19:15:48 2020,0.92571658,1.0750078,1.07500648,1.07500911,7.31085062,2.54731679,5.63800144,5.64026976,5.64144516,0.23941851
 Wed Mar 18 19:16:03 2020,1.76507556,0.84529573,0.84529537,0.84529608,6.72348499,31.60721588,25.70232582,25.70730019,25.70987701,0.23984283
 Wed Mar 18 19:16:18 2020,1.07198048,0.57927984,0.57927954,0.5792802,3.71959138,2.79920602,2.04085064,2.04204822,2.04266858,0.44233596
 Wed Mar 18 19:16:33 2020,1.95898616,0.92424756,0.92424697,0.92424816,3.46621823,3.01412868,2.53460193,2.53567266,2.53622746,0.19170499
 Wed Mar 18 19:16:48 2020,1.71713603,0.86179185,0.86179131,0.86179245,4.30510139,2.78274322,2.05157328,2.05255818,2.05306864,0.19185352
 Wed Mar 18 19:17:03 2020,1.19648898,1.91053057,1.91052926,1.91053176,2.44889927,3.47229767,3.75925589,3.76037192,3.76094985,0.24021578
 Wed Mar 18 19:17:18 2020,0.94862986,0.75857395,0.75857335,0.75857449,3.80258751,7.78364658,5.32296419,5.32502079,5.32608604,0.41268313
 Wed Mar 18 19:17:33 2020,1.53654158,1.06969798,1.0696969,1.06969905,2.75423121,2.70410848,2.440763,2.4416995,2.44218469,0.2502538
 Wed Mar 18 19:17:48 2020,1.54209983,1.39689159,1.39689088,1.39689219,3.52628875,3.9898088,2.69994497,2.70112896,2.70174217,0.41297495
 Wed Mar 18 19:18:03 2020,1.7932266,1.1919781,1.19197702,1.19197917,6.84070683,3.52819228,2.95361471,2.9546175,2.95513701,0.41293859
 Wed Mar 18 19:18:18 2020,1.39582062,0.5436458,0.54364544,0.5436461,7.19956827,25.69837761,19.79402542,19.79902649,19.80161858,0.41392922
 Wed Mar 18 19:18:33 2020,0.68735301,0.64745724,0.64745694,0.6474576,6.26129723,3.27930284,7.72989798,7.73231936,7.73357344,0.41239572
 Wed Mar 18 19:18:48 2020,0.54335761,1.8830862,1.88308549,1.88308704,3.48232365,12.37251282,15.29805756,15.30070114,15.30207062,0.25037777
 Wed Mar 18 19:19:03 2020,0.62944639,0.62650639,0.62650585,0.62650698,6.68528891,3.49030995,6.26962423,6.27166462,6.27272129,0.34621155
 Wed Mar 18 19:19:18 2020,1.53882647,1.44711423,1.44711316,1.4471153,2.75806761,2.70864058,2.4453218,2.44625974,2.44674563,0.34751534
 Wed Mar 18 19:19:33 2020,1.57125747,1.18426561,1.18426466,1.18426657,4.27782059,3.80653787,3.04195189,3.04282355,3.04327512,0.34570575
 Wed Mar 18 19:19:48 2020,0.79698938,0.63139957,0.63139904,0.63140011,3.94692588,7.69882774,6.23579931,6.23773289,6.23873472,0.42976594
 Wed Mar 18 19:20:03 2020,1.42484331,1.58959997,1.58959889,1.58960116,5.73792601,2.19756651,2.96681643,2.96782327,2.96834493,0.34752238
 Wed Mar 18 19:20:18 2020,0.55989963,1.43656433,1.43656325,1.43656552,2.50455165,5.6729064,4.15036154,4.15245104,4.15353394,0.4635011
 Wed Mar 18 19:20:33 2020,0.76433098,1.66454291,1.66454172,1.66454411,3.03208685,7.80904436,4.8485117,4.85057592,4.85164547,0.14933616
 Wed Mar 18 19:20:48 2020,0.55366397,0.63675243,0.63675195,0.6367529,4.72032022,4.19572973,6.66593885,6.66764927,6.66853571,0.37289011
 Wed Mar 18 19:21:03 2020,0.5095129,1.80872011,1.80871916,1.80872107,3.5355885,5.78087282,6.81297731,6.81465673,6.81552649,0.3713119
 Wed Mar 18 19:21:18 2020,0.8164283,1.21007371,1.21007276,1.21007466,2.77185106,2.74354005,2.47802854,2.47885156,2.47927809,0.16534418
 Wed Mar 18 19:21:33 2020,0.93785846,0.62115163,0.62115115,0.62115216,2.49346447,6.32885838,7.86364508,7.86546469,7.86640739,0.14914006
 Wed Mar 18 19:21:48 2020,0.69456214,1.42368615,1.42368507,1.4236871,3.29529572,5.81774092,7.29162264,7.2935257,7.29451132,0.24436015
 Wed Mar 18 19:22:03 2020,1.33987188,0.94092071,0.94092023,0.94092125,5.20414019,7.12545013,3.79799128,3.79885507,3.79930258,0.19869983
 Wed Mar 18 19:22:18 2020,1.065395,0.55948842,0.55948788,0.55948901,5.7577424,2.79168701,2.06056976,2.06155753,2.06206918,0.24510908
 Wed Mar 18 19:22:33 2020,0.92879385,1.7830261,1.78302503,1.78302729,3.0465486,5.34321308,5.66413212,5.66620731,5.6672821,0.14843988
 Wed Mar 18 19:22:48 2020,0.57166296,0.50065798,0.5006575,0.50065851,2.7205615,3.69987226,3.46710587,3.46800733,3.46847439,0.14925086
 Wed Mar 18 19:23:03 2020,0.68102407,1.06136119,1.06136012,1.06136227,3.20604587,7.30279064,6.77695322,6.77887058,6.77986431,0.14935243
 Wed Mar 18 19:23:18 2020,1.78410268,0.68962866,0.68962806,0.68962926,3.24299502,4.82727623,2.21587491,2.21697259,2.21754146,0.28069234
 Wed Mar 18 19:23:33 2020,1.78338611,0.68924981,0.68924916,0.68925041,3.24179196,4.82443333,2.21444535,2.21554255,2.21611094,0.1655677
 Wed Mar 18 19:23:48 2020,0.84094054,1.86563504,1.86563432,1.86563587,2.81192112,29.50717735,29.61572075,29.62139702,29.62433815,0.14895344
 Wed Mar 18 19:24:03 2020,0.61719692,0.64753997,0.64753962,0.64754027,6.2623477,3.27992344,7.73114634,7.73356771,7.73482227,0.16555095
 Wed Mar 18 19:24:18 2020,0.76272845,0.7602644,0.7602638,0.76026493,3.80795574,7.79632998,5.33572245,5.33778286,5.33885002,0.16586578
 Wed Mar 18 19:24:33 2020,1.70969999,0.57851171,0.57851142,0.57851207,2.96471286,2.46531796,2.03505349,2.03624916,2.03686881,0.28103149
 Wed Mar 18 19:24:48 2020,0.63773197,0.68021333,0.68021286,0.68021387,2.73254609,3.4640305,6.3376956,6.3395071,6.34044552,0.14900875
 Wed Mar 18 19:25:03 2020,0.56246412,1.05136311,1.05136192,1.05136418,2.51316309,4.13075256,6.73332834,6.73542404,6.73651028,0.16534781
 Wed Mar 18 19:25:18 2020,0.92298901,1.70986426,1.70986295,1.70986545,7.29253244,2.28649664,2.55811667,2.55924749,2.55983353,0.16571349
 Wed Mar 18 19:25:33 2020,0.92295402,1.70979023,1.70978904,1.70979154,7.29229784,2.28635788,2.5579772,2.55910802,2.55969381,0.20720798
 Wed Mar 18 19:25:48 2020,0.569359,0.86590171,0.86590111,0.86590236,6.33381987,2.31096292,6.2880559,6.29020739,6.29132223,0.20715541
 Wed Mar 18 19:26:03 2020,0.9129315,1.1528604,1.15285969,1.15286112,2.94588208,14.72391129,12.33644772,12.3390646,12.34042072,0.13257879
 Wed Mar 18 19:26:18 2020,0.92211246,1.70801044,1.70800912,1.70801175,7.28664589,2.28301954,2.55461907,2.5557487,2.55633402,0.22454715
 Wed Mar 18 19:26:33 2020,0.57891637,0.72968447,0.72968411,0.72968483,3.01512098,21.88898659,21.98575974,21.99081993,21.99344254,0.13206989
 Wed Mar 18 19:26:48 2020,1.62837112,0.78051341,0.78051311,0.78051376,4.86362743,4.67949438,31.51550102,31.52041817,31.52296638,0.17870587
 Wed Mar 18 19:27:03 2020,1.02470303,0.54569858,0.54569823,0.54569894,3.76907158,19.75998497,19.85599518,19.86101723,19.86361885,0.31457579
 Wed Mar 18 19:27:18 2020,0.62804711,0.55763221,0.55763161,0.5576328,7.86068773,2.54558325,7.75748396,7.75964546,7.76076508,0.13211882
 Wed Mar 18 19:27:33 2020,1.93930459,1.30281103,1.30281007,1.30281198,5.80694151,3.04248881,2.27800465,2.27888155,2.27933574,0.22395015
 Wed Mar 18 19:27:48 2020,0.55491567,1.44326365,1.44326234,1.44326484,6.7765522,5.62794971,4.17151403,4.17379284,4.17497349,0.16583318
 Wed Mar 18 19:28:03 2020,0.56171805,1.04978526,1.04978406,1.04978645,2.51065803,5.68733358,6.72737408,6.72946835,6.73055363,0.19847512
 Wed Mar 18 19:28:18 2020,0.67595172,1.16055107,1.16055024,1.16055179,3.14945006,3.30972266,3.54201865,3.54272723,3.54309416,0.24450713
 Wed Mar 18 19:28:33 2020,0.61113113,1.92216599,1.92216516,1.92216682,2.68633366,7.66301823,6.12786722,6.12929773,6.13003874,0.22367251
 Wed Mar 18 19:28:48 2020,0.69947559,1.67240572,1.67240477,1.67240655,3.2988739,4.30092716,5.77028131,5.77194738,5.77281046,0.19914746
 Wed Mar 18 19:29:03 2020,0.93951142,0.62289959,0.62289912,0.62290013,2.49901533,6.34197283,5.25183725,5.25366068,5.25460529,0.16561502
 Wed Mar 18 19:29:18 2020,0.69172108,1.79267752,1.79267645,1.79267859,3.2857554,4.35769987,5.83144855,5.83334446,5.83432674,0.2447238
 Wed Mar 18 19:29:33 2020,0.16590936,1.56258047,1.56257987,1.56258118,2.66289496,5.12070417,2.08285117,2.08402801,2.08463764,0.24482608
 Wed Mar 18 19:29:48 2020,0.81094491,1.55668581,1.55668509,1.55668664,4.43312836,6.13623095,4.72629118,4.72773266,4.72847986,0.24494362
 Wed Mar 18 19:30:03 2020,1.69921863,0.50785142,0.50785094,0.50785184,5.31053066,2.75210285,2.01724601,2.01803803,2.01844859,0.20744759
 Wed Mar 18 19:30:18 2020,1.82974875,0.76539862,0.76539809,0.76539916,2.47550249,4.64134645,5.17871618,5.18067074,5.18168354,0.13220614
 Wed Mar 18 19:30:33 2020,1.58027804,1.5448246,1.54482329,1.54482579,4.3648119,3.7553556,3.02679181,3.02791309,3.02849412,0.20760149
 Wed Mar 18 19:30:48 2020,1.63034582,0.91046375,0.91046339,0.91046411,5.65813971,5.13266182,31.54701996,31.55194664,31.55450058,0.13227773
 Wed Mar 18 19:31:03 2020,0.78012139,1.98835397,1.98835325,1.98835468,4.83932734,13.66196442,14.71163464,14.71423244,14.71557903,0.17848152
 Wed Mar 18 19:31:18 2020,0.64684272,1.22084522,1.22084463,1.22084594,6.29062843,11.53059864,8.57949352,8.58205032,8.58337593,0.20799714
 Wed Mar 18 19:31:33 2020,0.62088668,0.96199083,0.96199054,0.96199119,7.78712845,3.51331067,6.19809389,6.20052433,6.20178366,0.1990087
 Wed Mar 18 19:31:48 2020,1.3238492,1.19625282,1.19625163,1.19625401,2.9854641,6.7385602,7.21640301,7.21851301,3.7660532,0.20716995
 Wed Mar 18 19:32:03 2020,0.61603189,1.93746889,1.93746805,1.93746972,7.1796999,7.63656473,6.16615677,6.16770458,6.16850615,0.22396517
 Wed Mar 18 19:32:18 2020,1.34139371,0.75422537,0.7542249,0.75422591,5.20925093,7.13148737,3.80102777,3.80189252,3.80234051,0.20719969
 Wed Mar 18 19:32:33 2020,1.71310699,0.85966164,0.8596611,0.85966218,4.29157209,5.1745038,2.79353476,2.79451704,2.79502606,0.20708889
 Wed Mar 18 19:32:48 2020,0.74347401,1.05415988,1.05415869,1.05416107,2.22072887,4.14124489,6.74388218,6.74598169,6.74706936,0.28135729
 Wed Mar 18 19:33:03 2020,1.78370392,0.68941784,0.68941724,0.68941844,3.24232554,4.82569408,2.21507931,2.21617675,2.21674538,0.31593359
 Wed Mar 18 19:33:18 2020,0.63183874,0.94934869,0.94934815,0.94934928,7.13885593,3.49980044,7.78871727,7.79076338,7.79182339,0.28274465
 Wed Mar 18 19:33:33 2020,0.8273015,1.65700853,1.65700746,1.6570096,2.01881576,2.44008803,4.35368824,4.35557175,4.35654783,1.32996678
 Wed Mar 18 19:33:48 2020,0.99129355,0.76359475,0.76359421,0.76359528,2.46977425,4.62781191,5.16510201,5.16705275,5.16806316,0.47459793
 Wed Mar 18 19:34:03 2020,1.42980063,0.50481093,0.50481027,0.50481153,3.97026253,2.20495033,2.94474673,2.94584751,2.94641781,0.3817414
 Wed Mar 18 19:34:18 2020,1.19434083,1.58300817,1.58300698,1.58300936,3.69162869,3.76632977,3.00538135,3.00644326,3.00699329,0.38222122
 Wed Mar 18 19:34:33 2020,1.40804505,0.82785511,0.82785463,0.82785565,3.19280624,2.22958326,2.99662328,2.99751472,2.9979763,0.17870623
 Wed Mar 18 19:34:48 2020,1.46831834,0.8695125,0.86951208,0.86951298,2.24983382,3.28998709,3.55535412,3.55615783,3.55657434,0.1326403
 Wed Mar 18 19:35:03 2020,1.44628978,0.7422927,0.74229217,0.74229324,5.77753735,2.0533793,3.25983119,3.26082253,3.26133609,0.13234991
 Wed Mar 18 19:35:18 2020,1.57138538,1.18440092,1.18439996,1.18440187,4.27825022,3.80679154,3.04220724,3.0430789,3.04353046,0.31596589
 Wed Mar 18 19:35:33 2020,0.75596154,0.79895169,0.79895121,0.79895222,7.6495595,7.87331295,4.78336239,4.78519535,4.78614521,0.13221252
 Wed Mar 18 19:35:48 2020,1.81936181,0.70059592,0.7005955,0.70059639,5.2942214,5.23493862,2.75755548,2.75834465,2.75875354,0.20713174
 Wed Mar 18 19:36:03 2020,0.8783071,1.94403291,1.94403195,1.94403374,2.01474953,4.29413605,5.76344967,5.76511383,5.76597595,0.13205802
 Wed Mar 18 19:36:18 2020,0.62119317,0.56475306,0.56475252,0.56475359,3.2150085,6.76146698,7.70450449,7.706429,7.70742559,0.20757514
 Wed Mar 18 19:36:33 2020,1.20059073,1.539868,1.53986681,1.53986919,4.34907246,3.48043346,3.01743984,3.01855826,3.01913762,0.17800701
 Wed Mar 18 19:36:48 2020,0.75972193,0.82250309,0.82250249,0.82250369,5.28051567,7.76912451,5.37325478,4.81293249,4.81406069,0.2241962
 Wed Mar 18 19:37:03 2020,0.95287395,0.74990594,0.74990535,0.74990654,5.26600599,7.75198317,5.35601234,5.35818481,5.35931015,0.20729709
 Wed Mar 18 19:37:18 2020,1.54446793,1.39814365,1.39814305,1.39814436,3.53026509,3.99450612,2.45466995,2.45585537,2.45646954,0.17842942
 Wed Mar 18 19:37:33 2020,1.7913897,1.1900357,1.19003463,1.19003677,6.83453894,3.52454901,2.19994974,2.20095134,2.20147038,0.13206261
 Wed Mar 18 19:37:48 2020,1.19286001,1.58144236,1.58144116,1.58144355,3.68914247,7.21428537,3.00242686,3.00348783,3.00403762,0.17855769
 Wed Mar 18 19:38:03 2020,0.94661999,0.95176107,0.95176047,0.9517616,7.15417671,6.2677002,7.80692339,7.80897522,7.81003809,0.17844349
 Wed Mar 18 19:38:18 2020,0.56440645,0.56913304,0.56913251,0.56913364,6.66823101,3.73023415,3.49967694,6.2513876,6.25244141,0.178496
 Wed Mar 18 19:38:33 2020,1.16930735,0.55220133,0.55220091,0.55220181,2.97811437,3.5512464,3.20730472,3.208112,3.20853019,0.31493068
 Wed Mar 18 19:38:48 2020,1.70077324,0.50867337,0.50867295,0.50867385,4.75325108,2.75518632,2.02034783,2.02114081,2.02155161,0.20797235
 Wed Mar 18 19:39:03 2020,1.79646409,1.58602667,1.58602548,1.58602774,5.72657824,2.19086385,2.96007395,2.96107888,2.96159935,0.17853826
 Wed Mar 18 19:39:18 2020,0.86025947,1.78678679,1.7867856,1.78678799,2.27126956,4.85732079,5.67832327,5.68040228,5.68147993,0.31514108
 Wed Mar 18 19:39:33 2020,0.92844033,1.78227842,1.78227735,1.78227961,3.04536128,5.34040833,5.66131067,5.66338491,5.66445923,0.177908
 Wed Mar 18 19:39:48 2020,0.79906797,0.94609767,0.94609708,0.94609821,2.73515582,7.71531963,4.62738848,4.6293273,4.63033199,0.17827839
 Wed Mar 18 19:40:03 2020,1.84154403,1.0273807,1.02737999,1.0273813,2.19996977,2.69790077,2.79878354,2.79997396,2.80059052,0.17812097
 Wed Mar 18 19:40:18 2020,0.56054956,1.04731393,1.04731274,1.04731512,2.50673413,5.67806292,4.15554857,6.72013998,6.72122335,0.17861432
 Wed Mar 18 19:40:33 2020,0.57334787,0.50243974,0.50243926,0.50244027,2.72621942,3.45655632,6.32265902,6.32446575,6.32540226,0.38140965
 Wed Mar 18 19:40:48 2020,0.68057311,1.0604074,1.06040633,1.06040847,3.20453143,7.29921246,6.77335405,6.77527046,6.77626324,0.28146517
 Wed Mar 18 19:41:03 2020,0.6872412,0.64739811,0.64739776,0.64739847,6.26054621,3.27885914,7.72900534,7.73142624,7.7326808,0.2826612
 Wed Mar 18 19:41:18 2020,0.68000597,1.05920792,1.05920684,1.05920899,3.56200194,7.29471302,6.76882792,6.77074289,6.77173519,0.31468022
 Wed Mar 18 19:41:33 2020,0.81481367,0.61468971,0.61468929,0.61469012,3.78282809,5.19791794,4.25709248,4.25855303,4.25930977,0.31461358
 Wed Mar 18 19:41:48 2020,1.91113567,1.39373815,1.39373755,1.39373887,3.51627517,3.22797894,2.68804526,2.68922567,2.68983698,0.38191497
 Wed Mar 18 19:42:03 2020,1.76409745,0.84477854,0.84477818,0.8447789,4.15441608,31.59169579,25.68671227,25.69168282,25.69425774,0.47417903
 Wed Mar 18 19:42:18 2020,0.74290431,1.05295491,1.05295384,1.0529561,2.21881557,4.13672447,6.73933506,6.74143314,6.74252033,1.33075333
 Wed Mar 18 19:42:33 2020,0.98941994,0.94911349,0.94911295,0.94911402,2.74473286,6.23794699,4.65014935,4.65209532,4.65310335,1.21285415
 Wed Mar 18 19:42:48 2020,0.57154804,0.50053644,0.50053596,0.50053698,2.7201755,3.6994164,3.46664739,3.46754861,3.46801543,1.21421266
 Wed Mar 18 19:43:03 2020,0.75591588,0.79890347,0.79890293,0.79890394,7.64925289,7.87295103,4.78299809,4.78483105,4.78578091,1.32966113
 Wed Mar 18 19:43:19 2020,1.8057822,1.53733325,1.5373323,1.5373342,6.85702658,2.50957322,2.22963858,2.23052454,2.2309835,1.33168697
 Wed Mar 18 19:43:34 2020,1.71200824,0.92939317,0.92939264,0.92939371,4.28788233,5.17014456,2.79134226,2.79232407,2.79283285,1.32909465
 Wed Mar 18 19:43:49 2020,1.69418395,0.69623709,0.69623673,0.6962375,2.82642174,2.77581573,2.00791144,2.00860953,2.00897121,0.47279835
 Wed Mar 18 19:44:04 2020,1.71145439,0.92910033,0.9290998,0.92910087,4.28602266,5.16794777,2.79023743,2.79121876,2.7917273,1.32984138
 Wed Mar 18 19:44:19 2020,0.75545144,0.79841226,0.79841179,0.7984128,7.64613342,7.86926603,5.27929115,5.28112316,4.78207254,0.38118517
 Wed Mar 18 19:44:34 2020,1.31404769,1.30891156,1.30891037,1.30891287,2.71765542,3.73878789,3.47878385,3.47989511,3.4804709,0.17840701
 Wed Mar 18 19:44:49 2020,1.67076945,0.68753582,0.68753523,0.68753642,3.23634911,5.37407398,2.20797753,2.20907283,2.20964026,0.28265977
 Wed Mar 18 19:45:04 2020,0.88615054,1.79080999,1.79080892,1.79081094,3.28279018,4.3506937,5.82440138,5.8262949,5.82727623,0.31584358
 Wed Mar 18 19:45:19 2020,0.63242805,0.94997185,0.94997132,0.94997245,7.14281368,6.25427628,7.79342031,7.79546785,7.79652834,0.28132153
 Wed Mar 18 19:45:34 2020,0.56490284,0.56965792,0.56965739,0.56965852,6.67156458,3.73220325,6.25331497,6.25535011,6.2564044,0.31528342
 Wed Mar 18 19:45:49 2020,0.57258129,0.50162911,0.50162864,0.50162959,2.72364521,3.45351529,6.31654072,6.31834602,6.3192811,0.2819885
 Wed Mar 18 19:46:04 2020,1.95480287,0.92203575,0.92203516,0.92203635,3.45919442,3.00583124,2.30750537,2.30857372,2.30912709,0.31548274
 Wed Mar 18 19:46:19 2020,1.78341806,0.68926668,0.68926609,0.68926734,3.24184561,4.82456017,2.21450901,2.21560645,2.21617484,0.47441673
 Wed Mar 18 19:46:34 2020,1.96655142,1.70518327,1.70518208,1.70518458,5.84016848,3.02771664,2.54928493,2.55041289,2.5509975,1.33229446
 Wed Mar 18 19:46:49 2020,1.18687677,1.82817042,1.82816935,1.82817149,6.18613195,4.79151821,3.24153638,3.24245977,3.24293804,1.33016181
 Wed Mar 18 19:47:04 2020,0.62306982,0.62923753,0.629237,0.62923807,3.94006038,6.77635622,6.21948195,6.22141075,6.2224102,0.47326267
 Wed Mar 18 19:47:19 2020,0.76461571,1.66514516,1.66514397,1.66514623,3.03304291,7.81130314,4.85078382,4.85284901,4.85391903,1.33148456
 Wed Mar 18 19:47:34 2020,0.68208408,0.56305152,0.56305099,0.56305206,3.20960522,7.31120062,7.69166279,7.69358301,7.69457769,1.21273351
 Wed Mar 18 19:47:49 2020,0.75418365,0.79707164,0.79707116,0.79707217,7.63761902,7.85920715,5.26917315,5.27100229,5.27194977,1.33415198
 Wed Mar 18 19:48:04 2020,0.95295525,0.74999189,0.7499913,0.74999249,5.26655197,7.75262785,5.35666132,5.35883331,5.35995913,0.47418439
 Wed Mar 18 19:48:19 2020,0.8669064,1.44218659,1.44218528,1.44218779,6.77313185,2.5619545,4.16744995,4.16972733,4.17090702,0.47382712
 Wed Mar 18 19:48:34 2020,1.41152918,0.88438481,0.88438433,0.88438529,3.19865608,2.98649406,3.69107509,3.69196844,3.69243121,0.4732703
 Wed Mar 18 19:48:49 2020,0.50783235,1.80516589,1.80516505,1.80516684,3.31119514,5.7675395,7.36206532,7.36374044,7.36460829,0.47293746
 Wed Mar 18 19:49:04 2020,1.53348935,1.06647038,1.06646931,1.06647134,5.24821329,3.97930431,2.71592307,2.71685767,2.7173419,0.31496847
 Wed Mar 18 19:49:19 2020,1.91785157,1.71609771,1.71609664,1.71609879,5.22718287,3.24813223,2.70342755,2.70435834,2.70484066,0.13248301
 Wed Mar 18 19:49:34 2020,1.92490268,1.46475637,1.46475554,1.4647572,5.71769047,3.95438766,2.71888018,2.71963811,2.72003078,0.13253278
