 TIME, Mass Concentration PM1.0, Mass Concentration PM2.5, Mass Concentration PM4.0 , Mass Concentration PM10, Number Concentration PM0.5, Number Concentration PM1.0, Number Concentration PM2.5, Number Concentration PM4.0, Number Concentration PM10, Particle Size
 Wed Mar 18 21:13:21 2020,1.28452647,0.7349788,0.73497832,0.73497927,3.70667672,3.20346308,3.93771505,3.93852592,3.93894601,0.13238001
 Wed Mar 18 21:13:36 2020,0.61130553,1.92253482,1.92253399,1.92253566,2.40625477,7.66440153,6.12925911,6.1306901,6.13143158,0.20787197
 Wed Mar 18 21:13:51 2020,1.08458149,0.93520558,0.9352051,0.935206,2.23516464,2.02265763,3.28792214,3.28872061,3.28913426,0.17858166
 Wed Mar 18 21:14:06 2020,0.80000192,0.9470852,0.94708467,0.94708574,2.73829198,6.22272921,4.63484192,4.63678312,4.63778877,0.31519139
 Wed Mar 18 21:14:21 2020,0.99081892,0.76309282,0.76309228,0.76309335,2.74943042,6.24904633,5.16131449,5.1632638,5.16427374,0.17855752
 Wed Mar 18 21:14:36 2020,0.86864316,1.04347539,1.04347444,1.04347634,7.68450212,6.8409152,5.74837446,4.18757248,4.18845177,0.17812884
 Wed Mar 18 21:14:51 2020,0.54782552,1.80435336,1.80435264,1.80435407,4.0748167,4.22299385,4.24756002,4.2488451,4.24951077,0.31560087
 Wed Mar 18 21:15:06 2020,0.87669426,1.94062173,1.9406209,1.94062269,2.00933337,4.28133965,5.75057793,5.7522378,5.75309801,0.17859
 Wed Mar 18 21:15:21 2020,0.88797075,0.98510653,0.98510593,0.98510718,4.64338064,7.22904873,4.33571053,4.33802032,4.33921719,0.13184822
 Wed Mar 18 21:15:36 2020,1.02767718,0.72695857,0.72695822,0.72695893,3.77905869,19.8071785,21.90346718,21.90850449,21.91111374,0.13185203
 Wed Mar 18 21:15:51 2020,0.78091097,1.99002397,1.99002326,1.99002469,2.20621657,13.67449379,14.72423744,14.72684002,14.72818756,0.13210136
